ratID,Session,Epoch_N,OF,REM
27284_Douglas,1,0,4.109257137073509,4.543408678147032
27284_Douglas,1,1,3.324402337621465,9.839153892898134
27284_Douglas,1,2,4.27128517695036,9.508210224619164
27284_Douglas,1,3,3.4206382883386857,13.933995952410084
27284_Douglas,1,4,3.440471019610532,9.518660928506574
27284_Douglas,1,5,4.396346380304467,13.395984507859666
27284_Douglas,1,6,3.9898257117217404,4.052927410790723
27284_Douglas,1,7,2.7373371678382243,8.313416021579263
27284_Douglas,1,8,6.2361468604337045,7.64815981228192
27284_Douglas,1,9,3.3171728710197153,8.972140314432178
27284_Douglas,1,10,4.793478710774924,6.778139796474895
27284_Douglas,1,11,5.462114326737164,2.6526630766601316
27284_Douglas,1,12,5.599853367482619,5.859235528607646
27284_Douglas,1,13,3.8945169583030745,4.705739101163956
27285_Elm,1,0,3.9292027822339657,3.719832412809349
27285_Elm,1,1,4.9419154849889475,3.19453011240902
27285_Elm,1,2,5.366706485910735,9.135683113142118
27963_Hemlock,1,0,6.253274235367583,2.6023784628042343
27963_Hemlock,1,1,4.670518612290268,1.4256053673097702
27963_Hemlock,1,2,2.4879083258072128,1.1527974172266946
27963_Hemlock,1,3,3.9756333573850084,3.2882335537487855
27963_Hemlock,1,4,2.655771796924228,1.5037314816209553
27963_Hemlock,1,5,4.805417129511013,1.6411990404207026
28003_Ironwood,1,0,7.192691318266098,4.618848430175461
29630_Juniper,1,0,4.887082588507068,2.5912575298703997
29630_Juniper,1,1,5.380888797520961,3.266905710968988
29630_Juniper,1,2,5.753808813706097,3.388339236414656
29630_Juniper,2,0,8.881688013844531,1.932962941329146
29630_Juniper,2,1,3.927312662360508,2.250352613247454
29630_Juniper,2,2,4.424172062298802,3.0589892645853807
29630_Juniper,2,3,8.199609406608332,7.723734849283192
29630_Juniper,2,4,5.841877036550418,4.170644749131586
29630_Juniper,2,5,5.470391175471547,5.983613932672817
29630_Juniper,3,0,8.139789772618705,4.141540673765559
29630_Juniper,3,1,4.513569765306682,2.2787896861828374
29630_Juniper,3,2,4.430507395128012,3.09899799906717
29630_Juniper,3,3,9.414735796548511,14.955744188737881
29630_Juniper,3,4,6.964869853997624,2.6145909544944432
29630_Juniper,3,5,3.298248779475523,2.8683127607431027
29630_Juniper,3,6,5.870223662809633,2.448063003459732
29630_Juniper,3,7,4.216240759139591,2.8009385875132513
29630_Juniper,3,8,3.934848419685763,20.866539256763804
29630_Juniper,3,9,4.199249577559531,4.080774200442335
29630_Juniper,3,10,5.970745959989736,2.7907987925073923
